,work,Name,Hogwarts House,cluster
1,NCIS,Leroy Jethro Gibbs,,5
2,NCIS,Anthony DiNozzo,,2
3,NCIS,Abby Sciuto,,5
4,NCIS,Donald Mallard,,6
5,NCIS,Timothy McGee,,6
6,NCIS,Jimmy Palmer,,6
7,The Walking Dead,Rick Grimes,,5
8,The Walking Dead,Shane Walsh,,4
9,The Walking Dead,Lori Grimes,,3
10,The Walking Dead,Andrea,,3
11,The Walking Dead,Dale Horvath,,6
12,The Walking Dead,Glenn Rhee,,6
13,The Walking Dead,Carl Grimes,,5
14,The Walking Dead,Daryl Dixon,,5
15,The Walking Dead,Carol Peletier,,5
16,The Walking Dead,Merle Dixon,,2
17,Breaking Bad,Walter White,,4
18,Breaking Bad,Skyler White,,3
19,Breaking Bad,Jesse Pinkman,,2
20,Breaking Bad,Hank Schrader,,5
21,Breaking Bad,Marie Schrader,,3
22,Breaking Bad,Flynn White,,1
23,Breaking Bad,Jimmy McGill,,2
24,Breaking Bad,Gus Fring,,4
25,Breaking Bad,Mike Ehrmantraut,,5
26,Breaking Bad,Jane Margolis,,2
27,The Wizard of Oz,Dorothy Gale,,1
28,The Wizard of Oz,The Wizard of Oz,,3
29,The Wizard of Oz,The Scarecrow,,1
30,The Wizard of Oz,The Tin Man,,1
31,The Wizard of Oz,The Cowardly Lion,,1
32,The Wizard of Oz,The Wicked Witch of the West,,4
33,This Is Us,Jack Pearson,,5
34,This Is Us,Rebecca Pearson,,6
35,This Is Us,Randall Pearson,,6
36,This Is Us,Kate Pearson,,1
37,This Is Us,Kevin Pearson,,2
38,This Is Us,Beth Pearson,,6
39,This Is Us,Toby Damon,,1
40,This Is Us,William H. 'Shakespeare' Hill,,1
41,This Is Us,Miguel Rivas,,6
42,This Is Us,Sophie,,6
43,Jurassic Park,Dr. Alan Grant,,6
44,Jurassic Park,Dr. Ellie Sattler,,6
45,Jurassic Park,Dr. Ian Malcolm,,2
46,Jurassic Park,John Hammond,,1
47,Jurassic Park,Ray Arnold,,5
48,Jurassic Park,Dennis Nedry,,3
49,The Lion King,Simba,,1
50,The Lion King,Nala,,6
51,The Lion King,Timon,,2
52,The Lion King,Pumbaa,,1
53,The Lion King,Scar,,4
54,The Lion King,Mufasa,,6
55,The West Wing,Josiah Bartlet,,6
56,The West Wing,Leo McGarry,,6
57,The West Wing,Josh Lyman,,5
58,The West Wing,Toby Ziegler,,5
59,The West Wing,Sam Seaborn,,6
60,The West Wing,C. J. Cregg,,6
61,The West Wing,Charlie Young,,6
62,The West Wing,Donna Moss,,1
63,The West Wing,Abbey Bartlet,,6
64,The West Wing,Joey Lucas,,6
65,Friday Night Lights,Eric Taylor,,6
66,Friday Night Lights,Tami Taylor,,6
67,Friday Night Lights,Smash Williams,,2
68,Friday Night Lights,Matt Saracen,,6
69,Friday Night Lights,Lyla Garrity,,6
70,Friday Night Lights,Tim Riggins,,2
71,Friday Night Lights,Tyra Collette,,2
72,Friday Night Lights,Landry Clarke,,1
73,Friday Night Lights,Jason Street,,6
74,Friday Night Lights,Julie Taylor,,1
75,Schitt's Creek,Johnny Rose,,6
76,Schitt's Creek,Moira Rose,,2
77,Schitt's Creek,David Rose,,2
78,Schitt's Creek,Alexis Rose,,2
79,Schitt's Creek,Stevie Budd,,5
80,Schitt's Creek,Ted Mullens,,6
81,Little Women,Jo March,,5
82,Little Women,Meg March,,6
83,Little Women,Amy March,,5
84,Little Women,Beth March,,1
85,Little Women,Marmee March,,6
86,Little Women,Theodore Laurence,,1
87,Scandal,Olivia Pope,,5
88,Scandal,Abby Whelan,,6
89,Scandal,Quinn Perkins,,5
90,Scandal,Huck,,5
91,Scandal,Cyrus Beene,,4
92,Scandal,David Rosen,,6
93,Scandal,Mellie Grant,,4
94,Scandal,Fitzgerald Grant,,3
95,Scandal,Jake Ballard,,5
96,Scandal,Rowan Pope,,4
97,Robin Hood,Robin Hood,,5
98,Robin Hood,Maid Marian,,6
99,Robin Hood,Little John,,1
100,Robin Hood,Friar Tuck,,1
101,Robin Hood,Prince John,,3
102,Robin Hood,Sheriff of Nottingham,,3
103,Romeo and Juliet,Romeo Montague,,2
104,Romeo and Juliet,Juliet Capulet,,1
105,Romeo and Juliet,Friar Laurence,,6
106,Romeo and Juliet,Mercutio,,2
107,Romeo and Juliet,The Nurse,,6
108,Romeo and Juliet,Benvolio,,3
109,Dexter,Dexter Morgan,,5
110,Dexter,Rita Bennett,,1
111,Dexter,Debra Morgan,,5
112,Dexter,James Doakes,,4
113,Dexter,Maria LaGuerta,,5
114,Dexter,Angel Batista,,1
115,Dexter,Harry Morgan,,5
116,Dexter,Vince Masuka,,1
117,Dexter,Thomas Matthews,,4
118,Dexter,Joey Quinn,,2
119,The Good Place,Eleanor Shellstrop,,2
120,The Good Place,Chidi Anagonye,,6
121,The Good Place,Tahani Al-Jamil,,5
122,The Good Place,Janet,,6
123,The Good Place,Jason Mendoza,,2
124,The Good Place,Michael,,5
125,"House, M.D.",Dr. Gregory House,,4
126,"House, M.D.",Dr. Lisa Cuddy,,6
127,"House, M.D.",Dr. James Wilson,,6
128,"House, M.D.",Dr. Eric Foreman,,6
129,"House, M.D.",Dr. Robert Chase,,1
130,"House, M.D.",Dr. Allison Cameron,,6
131,LOST,Sayid Jarrah,,5
132,LOST,Claire Littleton,,1
133,LOST,Jack Shephard,,6
134,LOST,Hugo 'Hurley' Reyes,,1
135,LOST,Shannon Rutherford,,3
136,LOST,James 'Sawyer' Ford,,2
137,LOST,Benjamin Linus,,4
138,LOST,Jin-Soo Kwon,,6
139,LOST,Michael Dawson,,3
140,LOST,Desmond Hume,,5
141,LOST,Sun-Hwa Kwon,,6
142,LOST,Kate Austen,,5
143,LOST,Charlie Pace,,1
144,LOST,John Locke,,5
145,LOST,Juliet Burke,,6
146,The Great Gatsby,Jay Gatsby,,2
147,The Great Gatsby,Nick Carraway,,6
148,The Great Gatsby,Daisy Buchanan,,1
149,The Great Gatsby,Tom Buchanan,,4
150,The Great Gatsby,Myrtle Wilson,,2
151,The Great Gatsby,Jordan Baker,,5
152,The 100,Clarke Griffin,,5
153,The 100,Bellamy Blake,,5
154,The 100,Octavia Blake,,5
155,The 100,Raven Reyes,,5
156,The 100,Dr. Abigail Griffin,,6
157,The 100,John Murphy,,2
158,Two and Half Men,Charlie Harper,,2
159,Two and Half Men,Alan Harper,,3
160,Two and Half Men,Jake Harper,,2
161,Two and Half Men,Berta,,2
162,Two and Half Men,Evelyn Harper,,4
163,Two and Half Men,Judith Harper-Melnick,,4
164,Twilight,Bella Swan,,3
165,Twilight,Edward Cullen,,5
166,Twilight,Jacob Black,,5
167,Twilight,Charlie Swan,,6
168,Twilight,Carlisle Cullen,,6
169,Twilight,Esme Cullen,,6
170,Twilight,Alice Cullen,,6
171,Twilight,Emmett Cullen,,2
172,Twilight,Rosalie Hale,,4
173,Twilight,Jasper Hale,,6
174,Grey's Anatomy,Meredith Grey,,5
175,Grey's Anatomy,Cristina Yang,,5
176,Grey's Anatomy,Izzie Stevens,,1
177,Grey's Anatomy,Alex Karev,,2
178,Grey's Anatomy,George O'Malley,,1
179,Grey's Anatomy,Miranda Bailey,,6
180,Grey's Anatomy,Richard Webber,,6
181,Grey's Anatomy,Preston Burke,,4
182,Grey's Anatomy,Derek Shepherd,,6
183,Grey's Anatomy,Addison Montgomery,,5
184,Law & Order: SVU,Olivia Benson,,6
185,Law & Order: SVU,John Munch,,6
186,Law & Order: SVU,Donald Cragen,,6
187,Law & Order: SVU,Elliot Stabler,,5
188,Law & Order: SVU,Odafin Tutuola,,5
189,Law & Order: SVU,Melinda Warner,,6
190,Buffy the Vampire Slayer,Buffy Summers,,5
191,Buffy the Vampire Slayer,Xander Harris,,1
192,Buffy the Vampire Slayer,Willow Rosenberg,,6
193,Buffy the Vampire Slayer,Cordelia Chase,,2
194,Buffy the Vampire Slayer,Rupert Giles,,6
195,Buffy the Vampire Slayer,Angel,,5
196,That 70's Show,Eric Forman,,1
197,That 70's Show,Jackie Burkhart,,2
198,That 70's Show,Michael Kelso,,2
199,That 70's Show,Steven Hyde,,2
200,That 70's Show,Donna Pinciotti,,5
201,That 70's Show,Fez,,1
202,That 70's Show,Kitty Forman,,1
203,That 70's Show,Red Forman,,4
204,That 70's Show,Midge Pinciotti,,1
205,That 70's Show,Bob Pinciotti,,1
206,Star Wars,Luke Skywalker,,1
207,Star Wars,Princess Leia,,5
208,Star Wars,Han Solo,,2
209,Star Wars,Darth Vader,,4
210,Star Wars,Obi-Wan Kenobi,,6
211,Star Wars,C-3PO,,6
212,Harry Potter,Ron Weasley,Gryffandor,1
213,Harry Potter,Harry Potter,Gryffandor,5
214,Harry Potter,Hermione Granger,Gryffandor,6
215,Harry Potter,Rubeus Hagrid,Gryffandor,1
216,Harry Potter,Albus Dumbledore,Gryffandor,6
217,Harry Potter,Minerva McGonagall,Gryffandor,6
218,Harry Potter,Severus Snape,Slytherin,4
219,Harry Potter,Ginny Weasley,Gryffandor,6
220,Harry Potter,Luna Lovegood,Ravenclaw,1
221,Harry Potter,Draco Malfoy,Slytherin,4
222,Harry Potter,Molly Weasley,Gryffandor,6
223,Harry Potter,Lord Voldemort,Slytherin,4
224,Harry Potter,Cho Chang,Ravenclaw,6
225,Harry Potter,Fleur Delacour,Ravenclaw,6
226,Harry Potter,Viktor Krum,Hufflepuff,5
227,Harry Potter,Filius Flitwick,Ravenclaw,6
228,Harry Potter,Horace Slughorn,Slytherin,3
229,Harry Potter,George Weasley,Gryffandor,2
230,Harry Potter,Alastor Moody,Gryffandor,5
231,Harry Potter,Remus Lupin,Gryffandor,6
232,Harry Potter,Arthur Weasley,Gryffandor,1
233,Harry Potter,Cornelius Fudge,Slytherin,3
234,Harry Potter,Dolores Umbridge,Slytherin,4
235,Harry Potter,Petunia Dursley,,3
236,Harry Potter,Moaning Myrtle,Ravenclaw,3
237,Harry Potter,Rita Skeeter,Ravenclaw,4
238,Harry Potter,Dobby,Slytherin,1
239,Harry Potter,Bellatrix Lestrange,Slytherin,2
240,Harry Potter,Nymphadora Tonks,Hufflepuff,2
241,Harry Potter,Sirius Black,Gryffandor,5
242,Crazy Rich Asians,Rachel Chu,,6
243,Crazy Rich Asians,Nick Young,,6
244,Crazy Rich Asians,Eleanor Sung-Young,,4
245,Crazy Rich Asians,Goh Peik Lin,,2
246,Crazy Rich Asians,Astrid Leong-Teo,,6
247,Crazy Rich Asians,Colin Khoo,,1
248,The Hunger Games,Katniss Everdeen,,5
249,The Hunger Games,Peeta Mellark,,1
250,The Hunger Games,Haymitch Abernathy,,2
251,The Hunger Games,Effie Trinket,,1
